hora,Tension de Linea L1,Corriente L1,Potencia Activa L1,Potencia Reactiva L1,Factor de Potencia L1,Tension de Linea L2,Corriente L2,Potencia Activa L2,Potencia Reactiva L2,Factor de Potencia L2,Tension de Linea L3,Corriente L3,Potencia Activa L3,Potencia Reactiva L3,Factor de Potencia L3,Potencia Activa III,Potencia Inductiva III,Potencia Capacitiva III,Coseno Fi,Tension entre Lineas L1 y L2,Tension entre Lineas L2 y L3,Tension entre Lineas L3 y L1,Potencia Aparente III,Demanda Maxima,Corriente de las Tres Fases,Corriente de Neutro,Demanda Maxima A2,Demanda Maxima A3,Energia Activa,Energia Reactiva Inductiva,Energia Reactiva Capacitiva
Wed Sep 25 00:10:56 2019,7724.979310344828,4653.724137931034,32603.896551724138,4294953738.5172415,42949672.04724136,7686.910344827584,6172.3448275862065,42889.34482758621,4294948468.965517,42949672.05379308,7605.475862068965,5479.862068965517,33066.41379310345,4294943041.965517,42949672.16137931,108518.55172413793,0.0,56638.51724137931,42949672.07896552,13378.75862068966,13188.579310344825,13261.737931034484,115040.75862068965,0.0,5434.3448275862065,0.0,0.0,0.0,492121747.44827586,434169959.0,881450877.7931035
Wed Sep 25 00:11:55 2019,7728.47142857143,4646.785714285715,32590.14285714286,4294953800.75,42949672.04749998,7690.071428571428,6195.214285714285,42937.78571428572,4294948066.392857,42949672.0535714,7611.000000000002,5463.214285714285,32785.21428571428,4294942839.25,42949672.16821427,108377.14285714286,0.0,57128.46428571428,42949672.080000006,13387.628571428577,13197.600000000004,13270.88571428571,115129.82142857143,0.0,5433.5,0.0,0.0,0.0,492123551.8214286,434169959.0,881451825.0
Wed Sep 25 00:12:56 2019,7735.862068965516,4617.724137931034,32216.58620689655,4294953481.62069,42949672.05241377,7697.751724137931,6125.586206896552,42474.620689655174,4294948284.0689654,42949672.05689652,7617.76551724138,5463.517241379311,32857.41379310345,4294942932.275862,42949672.16689655,107610.31034482758,0.0,57190.10344827586,42949672.080000006,13396.675862068963,13211.006896551726,13280.482758620692,115223.1724137931,0.0,5403.172413793103,0.0,0.0,0.0,492125346.9310345,434169959.0,881452776.9655173
Wed Sep 25 00:13:54 2019,7738.757142857142,4526.571428571428,31450.89285714286,4294953477.892857,42949672.05785714,7696.5428571428565,6073.5,42071.92857142857,4294948445.964286,42949672.05499997,7623.385714285716,5436.857142857143,32472.964285714286,4294942686.714286,42949672.17714284,106013.5,0.0,57277.46428571428,42949672.080000006,13396.714285714288,13213.285714285716,13291.414285714283,115262.64285714286,0.0,5345.285714285715,0.0,0.0,0.0,492127122.96428573,434169959.0,881453728.25
Wed Sep 25 00:14:55 2019,7739.958620689655,4517.793103448276,31418.275862068964,4294953567.3103447,42949672.05448273,7700.5241379310355,6049.448275862069,41947.137931034486,4294948592.275862,42949672.05724135,7625.627586206896,5421.517241379311,32569.48275862069,4294943028.172414,42949672.17275861,105993.20689655172,0.0,56731.06896551724,42949672.080000006,13400.524137931037,13218.993103448276,13295.131034482756,115292.44827586207,0.0,5331.931034482759,0.0,0.0,0.0,492128882.51724136,434169959.0,881454675.862069
Wed Sep 25 00:15:56 2019,7747.28275862069,4593.931034482759,32028.206896551725,4294953392.448276,42949672.053103425,7707.76551724138,6009.310344827586,41357.75862068965,4294947985.9310346,42949672.06448276,7632.9517241379335,5330.896551724138,32161.827586206895,4294943686.034483,42949672.16793103,105510.06896551725,0.0,56861.24137931035,42949672.08068966,13414.013793103444,13231.69655172414,13307.75172413793,112750.93103448275,0.0,5311.379310344828,0.0,0.0,0.0,492130669.37931037,434169959.0,881455633.9310344
Wed Sep 25 00:16:55 2019,7736.699999999999,4590.428571428572,31781.0,4294953030.642857,42949672.05999999,7697.485714285714,6036.857142857143,41404.57142857143,4294947633.321429,42949672.068928584,7624.242857142856,5362.285714285715,32167.75,4294943261.642857,42949672.16892856,105364.07142857143,0.0,57916.107142857145,42949672.08607143,13396.071428571426,13216.028571428573,13291.842857142858,114699.03571428571,0.0,5330.357142857143,0.0,0.0,0.0,492132422.4285714,434169959.0,881456586.1428572
Wed Sep 25 00:17:56 2019,7739.2137931034495,4535.172413793103,31421.724137931036,4294953224.62069,42949672.05999999,7700.275862068966,6022.3448275862065,41398.724137931036,4294947920.6896553,42949672.067241386,7626.786206896552,5350.551724137931,31939.137931034482,4294943069.3103447,42949672.17413792,104858.86206896552,0.0,57663.03448275862,42949672.08655174,13400.565517241379,13219.531034482758,13296.537931034482,113971.5172413793,0.0,5300.9655172413795,0.0,0.0,0.0,492134165.0344828,434169959.0,881457549.7241379
Wed Sep 25 00:18:54 2019,7736.057142857145,4494.0,31138.714285714286,4294953417.642857,42949672.05821427,7696.928571428571,5988.642857142857,41326.57142857143,4294948410.642857,42949672.06142856,7625.742857142858,5353.5,32025.89285714286,4294943212.0,42949672.17249999,104519.5,0.0,56801.71428571428,42949672.08250002,13392.085714285717,13215.471428571429,13289.957142857145,110302.42857142857,0.0,5278.928571428572,0.0,0.0,0.0,492135903.0714286,434169959.0,881458499.9285715
Wed Sep 25 00:19:55 2019,7731.351724137931,4536.827586206897,31490.172413793105,4294953464.37931,42949672.05586204,7693.986206896551,6010.758620689655,41433.03448275862,4294948280.6896553,42949672.06517243,7622.48275862069,5350.137931034483,32076.172413793105,4294943350.275862,42949672.17103448,105019.96551724138,0.0,56833.65517241379,42949672.08068966,13386.206896551726,13212.33103448276,13283.46206896552,112278.93103448275,0.0,5299.862068965517,0.0,0.0,0.0,492137643.6551724,434169959.0,881459441.8275862
