unixtime,potencia_III,v_l1_l2,v_l2_l3,v_l3_l1
Wed Sep 25 02:06:55 2019,105551.06896551725,13392.248275862072,13252.593103448275,13302.868965517242
Wed Sep 25 02:07:56 2019,106452.41379310345,13389.103448275859,13247.503448275864,13297.944827586205
Wed Sep 25 02:08:55 2019,105921.28571428571,13400.442857142856,13255.885714285712,13308.042857142858
Wed Sep 25 02:09:56 2019,106452.24137931035,13403.958620689653,13258.510344827588,13312.758620689654
Wed Sep 25 02:10:55 2019,107046.07142857143,13406.871428571429,13257.214285714284,13314.42857142857
Wed Sep 25 02:11:56 2019,106777.72413793103,13414.096551724138,13269.599999999999,13322.689655172417
Wed Sep 25 02:12:54 2019,107379.60714285714,13411.414285714285,13263.728571428568,13319.700000000003
Wed Sep 25 02:13:55 2019,109097.1724137931,13416.993103448276,13270.63448275862,13324.38620689655
Wed Sep 25 02:14:56 2019,108076.24137931035,13413.351724137929,13267.986206896552,13321.489655172412
Wed Sep 25 02:15:55 2019,107326.25,13418.571428571426,13273.114285714284,13324.585714285711
Wed Sep 25 02:16:56 2019,106346.1724137931,13416.537931034483,13270.303448275861,13320.786206896551
Wed Sep 25 02:17:55 2019,106127.17857142857,13411.199999999999,13264.842857142856,13319.014285714287
Wed Sep 25 02:18:56 2019,106274.10344827586,13408.593103448275,13260.662068965517,13314.331034482753
Wed Sep 25 02:19:54 2019,106045.46428571429,13405.671428571428,13258.800000000001,13311.0
Wed Sep 25 02:20:55 2019,105952.10344827586,13413.682758620687,13267.28275862069,13320.3724137931
Wed Sep 25 02:21:54 2019,107042.60714285714,13415.657142857139,13271.828571428572,13323.942857142858
Wed Sep 25 02:22:55 2019,105804.79310344828,13414.055172413795,13269.68275862069,13318.220689655172
Wed Sep 25 02:23:56 2019,106089.20689655172,13411.44827586207,13258.055172413797,13312.303448275861
Wed Sep 25 02:24:55 2019,107159.78571428571,13403.957142857142,13263.128571428571,13311.385714285712
Wed Sep 25 02:25:56 2019,106976.58620689655,13400.731034482758,13260.413793103453,13309.737931034484
Wed Sep 25 02:26:55 2019,106929.21428571429,13409.871428571429,13266.0,13316.700000000003
Wed Sep 25 02:27:55 2019,105715.5172413793,13414.096551724138,13271.337931034484,13318.137931034482
Wed Sep 25 02:28:54 2019,105843.17857142857,13413.857142857143,13270.714285714286,13317.25714285714
Wed Sep 25 02:29:55 2019,106956.06896551725,13416.620689655172,13271.875862068962,13322.979310344825
Wed Sep 25 02:30:56 2019,108227.03448275862,13419.186206896555,13275.103448275862,13327.903448275858
Wed Sep 25 02:31:55 2019,108299.0,13432.199999999999,13289.614285714286,13343.7
Wed Sep 25 02:32:55 2019,108802.4827586207,13432.17931034483,13287.310344827589,13340.11034482759
Wed Sep 25 02:33:56 2019,109234.44827586207,13433.462068965515,13292.85517241379,13335.806896551725
Wed Sep 25 02:34:55 2019,108894.92857142857,13429.157142857146,13287.0,13335.600000000004
Wed Sep 25 02:35:56 2019,108908.6551724138,13431.475862068963,13285.53103448276,13334.56551724138
Wed Sep 25 02:36:55 2019,108366.07142857143,13436.657142857144,13292.957142857138,13341.942857142854
Wed Sep 25 02:37:55 2019,107966.6551724138,13433.33793103448,13289.751724137928,13337.710344827587
Wed Sep 25 02:38:54 2019,106616.92857142857,13430.185714285717,13285.328571428572,13333.414285714285
Wed Sep 25 02:39:55 2019,106417.72413793103,13423.655172413792,13281.020689655172,13331.29655172414
Wed Sep 25 02:40:56 2019,106075.1724137931,13416.95172413793,13275.268965517242,13322.441379310345
Wed Sep 25 02:41:55 2019,105960.5,13415.571428571424,13274.185714285715,13322.185714285719
Wed Sep 25 02:42:56 2019,106921.6551724138,13417.944827586205,13276.179310344827,13325.379310344833
Wed Sep 25 02:43:54 2019,106804.82142857143,13416.299999999997,13274.742857142857,13320.557142857144
Wed Sep 25 02:44:55 2019,106058.31034482758,13409.917241379308,13267.241379310344,13313.83448275862
Wed Sep 25 02:45:54 2019,106606.10714285714,13415.057142857144,13272.72857142857,13322.657142857144
Wed Sep 25 02:46:55 2019,106716.03448275862,13427.66896551724,13283.83448275862,13331.834482758617
Wed Sep 25 02:47:56 2019,106178.1724137931,13427.04827586207,13281.889655172416,13332.331034482759
Wed Sep 25 02:48:55 2019,104058.17857142857,13424.785714285716,13281.342857142856,13331.485714285718
Wed Sep 25 02:49:56 2019,105071.4827586207,13425.889655172416,13282.965517241379,13332.496551724138
Wed Sep 25 02:50:54 2019,103660.85714285714,13426.371428571427,13282.54285714286,13333.714285714286
Wed Sep 25 02:51:55 2019,104410.24137931035,13426.63448275862,13284.082758620689,13332.827586206897
Wed Sep 25 02:52:54 2019,107408.03571428571,13424.871428571429,13283.014285714284,13331.314285714283
Wed Sep 25 02:53:55 2019,110207.55172413793,13424.399999999998,13280.275862068966,13327.448275862069
Wed Sep 25 02:54:56 2019,110817.10344827586,13433.296551724141,13287.682758620687,13338.910344827586
Wed Sep 25 02:55:55 2019,110694.25,13429.5,13279.242857142859,13340.871428571425
Wed Sep 25 02:56:56 2019,109484.27586206897,13436.81379310345,13289.710344827585,13337.172413793103
Wed Sep 25 02:57:55 2019,110406.78571428571,13429.371428571429,13283.4,13328.957142857145
Wed Sep 25 02:58:56 2019,107959.79310344828,13424.151724137933,13277.586206896549,13324.096551724138
Wed Sep 25 02:59:54 2019,105555.71428571429,13429.928571428569,13287.47142857143,13336.285714285712
Wed Sep 25 03:00:55 2019,105523.72413793103,13433.544827586204,13290.537931034482,13339.69655172414
Wed Sep 25 03:01:56 2019,107435.58620689655,13420.551724137933,13281.26896551724,13327.86206896552
Wed Sep 25 03:02:55 2019,108291.60714285714,13429.499999999996,13285.2,13330.8
Wed Sep 25 03:03:56 2019,109015.27586206897,13423.531034482758,13282.386206896552,13329.51724137931
Wed Sep 25 03:04:55 2019,108564.89285714286,13426.028571428571,13283.785714285716,13331.100000000002
Wed Sep 25 03:05:56 2019,108446.4827586207,13432.593103448278,13289.54482758621,13335.972413793104
Wed Sep 25 03:06:54 2019,108419.57142857143,13444.842857142854,13297.928571428574,13349.785714285714
Wed Sep 25 03:07:55 2019,105941.89655172414,13438.758620689656,13292.524137931034,13345.158620689654
Wed Sep 25 03:08:56 2019,106161.03448275862,13435.820689655175,13291.03448275862,13345.779310344828
Wed Sep 25 03:09:55 2019,105566.35714285714,13427.657142857144,13287.728571428572,13335.514285714284
Wed Sep 25 03:10:56 2019,105807.8275862069,13432.26206896552,13287.268965517242,13331.917241379308
Wed Sep 25 03:11:55 2019,105342.82142857143,13433.35714285714,13293.6,13342.028571428573
Wed Sep 25 03:12:55 2019,105537.44827586207,13439.13103448276,13296.3724137931,13346.482758620692
Wed Sep 25 03:13:54 2019,107592.53571428571,13429.242857142855,13286.699999999999,13335.300000000001
Wed Sep 25 03:14:55 2019,108638.06896551725,13426.26206896552,13281.641379310346,13326.579310344823
Wed Sep 25 03:15:56 2019,108528.41379310345,13422.579310344827,13274.855172413794,13320.537931034485
Wed Sep 25 03:16:55 2019,110137.0,13429.114285714286,13280.657142857144,13324.07142857143
Wed Sep 25 03:17:56 2019,109669.5172413793,13434.289655172413,13284.289655172415,13327.903448275858
Wed Sep 25 03:18:54 2019,110023.53571428571,13427.571428571435,13282.414285714285,13324.414285714285
Wed Sep 25 03:19:55 2019,106688.6551724138,13424.772413793105,13277.875862068968,13323.351724137929
Wed Sep 25 03:20:54 2019,104913.32142857143,13423.200000000003,13273.414285714285,13318.371428571427
Wed Sep 25 03:21:55 2019,106387.10344827586,13436.731034482757,13285.44827586207,13330.717241379309
Wed Sep 25 03:22:56 2019,108007.86206896552,13441.820689655175,13295.089655172413,13340.56551724138
Wed Sep 25 03:23:55 2019,108071.71428571429,13446.214285714288,13297.885714285714,13347.3
Wed Sep 25 03:24:56 2019,109261.58620689655,13444.468965517239,13298.855172413792,13346.068965517243
Wed Sep 25 03:25:54 2019,107436.5,13444.328571428572,13296.599999999997,13344.857142857143
Wed Sep 25 03:26:55 2019,107085.89655172414,13437.393103448278,13291.820689655173,13338.041379310343
Wed Sep 25 03:27:56 2019,106116.55172413793,13435.158620689654,13289.544827586204,13335.351724137929
Wed Sep 25 03:28:55 2019,105747.53571428571,13429.500000000002,13283.399999999998,13327.457142857142
Wed Sep 25 03:29:56 2019,104732.44827586207,13427.462068965517,13280.524137931034,13327.903448275858
Wed Sep 25 03:30:55 2019,104846.17857142857,13432.457142857145,13283.057142857144,13332.942857142856
Wed Sep 25 03:31:56 2019,104965.27586206897,13451.04827586207,13304.855172413792,13352.151724137933
Wed Sep 25 03:32:54 2019,105264.75,13443.214285714286,13295.271428571426,13344.857142857141
Wed Sep 25 03:33:55 2019,105660.72413793103,13446.413793103446,13301.586206896549,13349.462068965515
Wed Sep 25 03:34:56 2019,108422.3448275862,13448.15172413793,13303.324137931033,13349.089655172414
Wed Sep 25 03:35:55 2019,108323.46428571429,13447.757142857145,13299.385714285714,13345.285714285712
Wed Sep 25 03:36:56 2019,108021.3448275862,13448.89655172414,13307.255172413792,13353.144827586208
Wed Sep 25 03:37:54 2019,106996.42857142857,13447.714285714288,13309.885714285712,13359.214285714286
Wed Sep 25 03:38:55 2019,109001.24137931035,13448.524137931037,13308.041379310345,13357.98620689655
Wed Sep 25 03:39:56 2019,109172.8275862069,13441.531034482756,13301.420689655173,13352.648275862068
Wed Sep 25 03:40:55 2019,106513.96428571429,13434.685714285713,13294.757142857143,13345.800000000003
Wed Sep 25 03:41:55 2019,107312.3448275862,13428.910344827584,13282.841379310343,13338.662068965516
Wed Sep 25 03:42:54 2019,106339.96428571429,13423.97142857143,13280.700000000003,13335.771428571428
Wed Sep 25 03:43:55 2019,105482.55172413793,13428.16551724138,13286.482758620694,13341.517241379312
Wed Sep 25 03:44:56 2019,106716.24137931035,13424.81379310345,13284.12413793103,13338.537931034485
Wed Sep 25 03:45:55 2019,107067.64285714286,13424.099999999997,13288.800000000001,13340.785714285716
Wed Sep 25 03:46:56 2019,107781.75862068965,13422.620689655176,13284.331034482755,13334.400000000001
Wed Sep 25 03:47:54 2019,108785.03571428571,13417.92857142857,13277.914285714289,13326.128571428575
Wed Sep 25 03:48:55 2019,108693.06896551725,13434.455172413787,13294.75862068966,13342.303448275863
Wed Sep 25 03:49:56 2019,107298.62068965517,13432.758620689658,13293.682758620691,13342.71724137931
Wed Sep 25 03:50:55 2019,106247.71428571429,13443.300000000001,13303.97142857143,13349.05714285714
Wed Sep 25 03:51:56 2019,106250.06896551725,13445.379310344826,13305.765517241382,13353.144827586206
Wed Sep 25 03:52:54 2019,106485.42857142857,13446.04285714286,13304.871428571432,13353.900000000003
Wed Sep 25 03:53:55 2019,106657.89655172414,13439.71034482759,13296.993103448274,13343.337931034488
Wed Sep 25 03:54:56 2019,106990.27586206897,13433.006896551722,13288.758620689656,13340.110344827588
Wed Sep 25 03:55:55 2019,110236.25,13429.971428571427,13289.485714285718,13337.228571428568
Wed Sep 25 03:56:56 2019,110687.03448275862,13438.303448275861,13300.46896551724,13345.117241379312
Wed Sep 25 03:57:54 2019,109214.42857142857,13438.071428571431,13303.628571428575,13352.61428571429
Wed Sep 25 03:58:55 2019,108076.31034482758,13442.772413793104,13302.289655172419,13351.324137931033
Wed Sep 25 03:59:56 2019,108614.20689655172,13449.889655172416,13308.62068965517,13358.89655172414
Wed Sep 25 04:00:55 2019,107252.14285714286,13449.300000000001,13307.314285714285,13358.957142857138
Wed Sep 25 04:01:55 2019,105896.93103448275,13444.675862068967,13301.793103448277,13356.289655172417
Wed Sep 25 04:02:54 2019,105729.60714285714,13454.828571428572,13313.828571428576,13363.54285714286
Wed Sep 25 04:03:55 2019,106873.68965517242,13467.848275862067,13329.972413793106,13375.241379310344
Wed Sep 25 04:04:56 2019,107442.37931034483,13460.358620689653,13318.551724137931,13362.827586206899
Wed Sep 25 04:05:54 2019,108660.96428571429,13455.042857142858,13312.114285714282,13349.571428571431
Wed Sep 25 04:06:55 2019,108069.10344827586,13444.220689655172,13307.172413793103,13349.544827586207
Wed Sep 25 04:07:56 2019,107048.5172413793,13440.041379310345,13302.8275862069,13346.358620689653
Wed Sep 25 04:08:55 2019,107266.03571428571,13438.842857142854,13300.800000000001,13349.4
Wed Sep 25 04:09:55 2019,108446.1724137931,13446.165517241378,13303.241379310346,13354.01379310345
Wed Sep 25 04:10:56 2019,107963.31034482758,13448.937931034485,13305.68275862069,13354.510344827586
